volcano_number,volcano_name,primary_volcano_type,country,latitude,longitude,elevation,tectonic_settings,evidence_category
210010,West Eifel Volcanic Field,Maar(s),Germany,50.17,6.85,600,Rift zone / Continental crust (>25 km),Eruption Dated
210020,Chaine des Puys,Lava dome(s),France,45.775,2.97,1464,Rift zone / Continental crust (>25 km),Eruption Dated
210030,Olot Volcanic Field,Pyroclastic cone(s),Spain,42.17,2.53,893,Intraplate / Continental crust (>25 km),Evidence Credible
210040,Calatrava Volcanic Field,Pyroclastic cone(s),Spain,38.87,-4.02,1117,Intraplate / Continental crust (>25 km),Eruption Dated
211003,Vulsini,Caldera,Italy,42.6,11.93,800,Subduction zone / Continental crust (>25 km),Eruption Observed
211004,Colli Albani,Caldera,Italy,41.73,12.7,949,Subduction zone / Continental crust (>25 km),Evidence Uncertain
211010,Campi Flegrei,Caldera,Italy,40.827,14.139,458,Subduction zone / Continental crust (>25 km),Eruption Observed
211020,Vesuvius,Stratovolcano,Italy,40.821,14.426,1281,Subduction zone / Continental crust (>25 km),Eruption Observed
211030,Ischia,Complex,Italy,40.73,13.897,789,Subduction zone / Continental crust (>25 km),Eruption Observed
211031,Palinuro,Submarine,Italy,39.48,14.83,-70,Subduction zone / Continental crust (>25 km),Eruption Dated
211040,Stromboli,Stratovolcano,Italy,38.789,15.213,924,Subduction zone / Continental crust (>25 km),Eruption Observed
211041,Panarea,Stratovolcano,Italy,38.638,15.064,399,Subduction zone / Continental crust (>25 km),Evidence Uncertain
211042,Lipari,Stratovolcano(es),Italy,38.49,14.933,590,Subduction zone / Continental crust (>25 km),Eruption Dated
211050,Vulcano,Stratovolcano(es),Italy,38.404,14.962,500,Subduction zone / Continental crust (>25 km),Eruption Observed
211060,Etna,Stratovolcano(es),Italy,37.748,14.999,3320,Subduction zone / Continental crust (>25 km),Eruption Observed
211070,Campi Flegrei del Mar di Sicilia,Submarine,Italy,37.1,12.7,-8,Rift zone / Continental crust (>25 km),Eruption Observed
211071,Pantelleria,Shield,Italy,36.77,12.02,836,Rift zone / Continental crust (>25 km),Eruption Observed
211080,Marsili,Submarine,Italy,39.284,14.399,-779,,Eruption Dated
212020,Methana,Lava dome(s),Greece,37.615,23.336,760,Subduction zone / Continental crust (>25 km),Eruption Observed
212030,Milos,Stratovolcano(es),Greece,36.699,24.439,751,Subduction zone / Continental crust (>25 km),Eruption Dated
212040,Santorini,Shield(s),Greece,36.404,25.396,367,Subduction zone / Continental crust (>25 km),Eruption Observed
212050,Nisyros,Stratovolcano,Greece,36.586,27.16,698,Subduction zone / Continental crust (>25 km),Eruption Observed
212051,Yali,Lava dome(s),Greece,36.671,27.14,180,Subduction zone / Continental crust (>25 km),Evidence Credible
213000,Kula,Pyroclastic cone(s),Turkey,38.58,28.52,750,Intraplate / Continental crust (>25 km),Evidence Credible
213001,Karapinar Field,Pyroclastic cone(s),Turkey,37.667,33.6,1302,Intraplate / Continental crust (>25 km),Evidence Credible
213002,Hasan Dagi,Stratovolcano,Turkey,38.13,34.17,3253,Intraplate / Continental crust (>25 km),Evidence Credible
213003,Gollu Dag,Lava dome,Turkey,38.25,34.57,2143,Intraplate / Continental crust (>25 km),Evidence Uncertain
213004,Acigol-Nevsehir,Caldera,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated
213010,Erciyes Dagi,Stratovolcano,Turkey,38.531,35.447,3864,Intraplate / Continental crust (>25 km),Eruption Dated
213011,Karaca Dag,Shield,Turkey,37.67,39.83,1957,Intraplate / Continental crust (>25 km),Evidence Credible
213020,Nemrut Dagi,Stratovolcano,Turkey,38.654,42.229,2948,Intraplate / Continental crust (>25 km),Eruption Observed
213030,Tenduruk Dagi,Shield,Turkey,39.356,43.874,3514,Intraplate / Continental crust (>25 km),Eruption Observed
213040,Ararat,Stratovolcano,Turkey,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Eruption Observed
214010,Elbrus,Stratovolcano,Russia,43.351,42.442,5642,Intraplate / Continental crust (>25 km),Eruption Dated
214020,Kazbek,Stratovolcano,Georgia,42.7,44.5,5050,Intraplate / Continental crust (>25 km),Eruption Dated
214050,Samsari Volcanic Center,Lava cone(s),Georgia,41.542,43.7,3290,Intraplate / Continental crust (>25 km),Evidence Uncertain
214060,Aragats,Stratovolcano,Armenia,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Evidence Credible
214070,Ghegham Volcanic Ridge,Volcanic field,Armenia,40.283,45,3597,Intraplate / Continental crust (>25 km),Eruption Dated
214080,Vaiyots-Sar,Pyroclastic cone(s),Armenia,39.797,45.497,2575,Intraplate / Continental crust (>25 km),Eruption Dated
214090,Porak,Stratovolcano,Armenia-Azerbaijan,40.028,45.74,3029,Intraplate / Continental crust (>25 km),Eruption Dated
214100,Tskhouk-Karckar,Pyroclastic cone(s),Armenia-Azerbaijan,39.742,45.992,3139,Intraplate / Continental crust (>25 km),Eruption Dated
221010,"Tair, Jebel at",Stratovolcano,Yemen,15.55,41.83,244,Rift zone / Oceanic crust (< 15 km),Eruption Observed
221020,Zubair Group,Shield,Yemen,15.05,42.18,191,Rift zone / Oceanic crust (< 15 km),Eruption Observed
221021,Zukur,Shield,Yemen,14.02,42.75,624,Rift zone / Oceanic crust (< 15 km),Evidence Credible
221022,Hanish,Shield,Yemen,13.72,42.73,422,Rift zone / Oceanic crust (< 15 km),Evidence Credible
221040,Alid,Stratovolcano,Eritrea,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221041,Dallol,Explosion crater(s),Ethiopia,14.242,40.3,-48,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221050,Gada Ale,Stratovolcano,Ethiopia,13.975,40.408,287,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221060,Alu-Dalafilla,Fissure vent(s),Ethiopia,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221071,Bora Ale,Stratovolcano,Ethiopia,13.725,40.6,668,Rift zone / Intermediate crust (15-25 km),Evidence Credible
