,volcano_number,eruption_number,eruption_category,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day
0,266030,22354,Confirmed Eruption,,2020.0,3.0,23.0,Historical Observations,2020.0,4.0,2.0
1,343100,22355,Confirmed Eruption,,2020.0,2.0,22.0,Historical Observations,2020.0,2.0,22.0
2,233020,22343,Confirmed Eruption,,2020.0,2.0,10.0,Historical Observations,2020.0,4.0,6.0
3,345020,22346,Confirmed Eruption,,2020.0,1.0,31.0,Historical Observations,2020.0,4.0,17.0
4,353010,22347,Confirmed Eruption,,2020.0,1.0,12.0,Historical Observations,2020.0,1.0,12.0
5,273070,22344,Confirmed Eruption,,2020.0,1.0,12.0,Historical Observations,2020.0,1.0,22.0
6,282050,22345,Confirmed Eruption,,2020.0,1.0,11.0,Historical Observations,2020.0,4.0,17.0
7,241040,22338,Confirmed Eruption,2.0,2019.0,12.0,9.0,Historical Observations,2019.0,12.0,9.0
8,311060,22341,Confirmed Eruption,,2019.0,12.0,7.0,Historical Observations,2020.0,3.0,15.0
9,284096,22340,Confirmed Eruption,1.0,2019.0,12.0,5.0,Historical Observations,2020.0,4.0,17.0
10,311240,22342,Uncertain Eruption,,2019.0,11.0,7.0,Historical Observations,2019.0,12.0,7.0
11,282060,22339,Confirmed Eruption,,2019.0,11.0,2.0,Historical Observations,2020.0,4.0,16.0
12,300260,22335,Confirmed Eruption,,2019.0,10.0,24.0,Historical Observations,2020.0,4.0,17.0
13,243070,22334,Confirmed Eruption,1.0,2019.0,10.0,13.0,Historical Observations,2019.0,10.0,22.0
14,283110,22326,Confirmed Eruption,,2019.0,8.0,7.0,Historical Observations,2019.0,8.0,25.0
15,357090,22336,Confirmed Eruption,,2019.0,8.0,2.0,Historical Observations,2019.0,11.0,12.0
16,263090,22325,Confirmed Eruption,,2019.0,7.0,26.0,Historical Observations,2019.0,9.0,17.0
17,311360,22330,Confirmed Eruption,,2019.0,7.0,23.0,Historical Observations,2020.0,4.0,9.0
