volcano_number,volcano_name,primary_volcano_type,country,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,last_eruption_year
283001,Abu,Shield(s),Japan,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,3597,9594,117805,4071152,
355096,Acamarachi,Stratovolcano,Chile,-23.291999999999998,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,0,7,294,9092,
342080,Acatenango,Stratovolcano(es),Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,4329,60730,1042836,7634778,
213004,Acigol-Nevsehir,Caldera,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,127863,127863,218469,2253483,
321040,Adams,Stratovolcano,United States,46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,0,70,4019,393303,
283170,Adatarayama,Stratovolcano(es),Japan,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,428,3936,717078,5024654,
221170,Adwa,Stratovolcano,Ethiopia,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Evidence Credible,101,485,18645,1242922,
221110,Afdera,Stratovolcano,Ethiopia,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,51,6042,8611,161009,
284160,Agrigan,Stratovolcano,United States,18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,
342100,Agua,Stratovolcano,Guatemala,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Evidence Credible,9890,114404,2530449,7441660,
382090,Agua de Pau,Stratovolcano,Portugal,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,406,17272,113131,119653,
358062,Aguilera,Stratovolcano,Chile,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,103,5698,
264020,Agung,Stratovolcano,Indonesia,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,5657,76781,968381,4550176,
284141,Ahyi,Submarine,United States,20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,0,0,0,0,
282080,Aira,Caldera,Japan,31.593000000000004,130.657,1117,Subduction zone / Continental crust (>25 km),Eruption Observed,4918,113874,905254,2610033,
300125,Akademia Nauk,Stratovolcano(es),Russia,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,3,3,615,12484,
283130,Akagisan,Stratovolcano,Japan,36.56,139.19299999999998,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,961,4538,1116366,16718375,
285070,Akan,Caldera,Japan,43.38399999999999,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,2062,2062,9756,929538,
283230,Akita-Komagatake,Stratovolcano(es),Japan,39.760999999999996,140.799,1637,Subduction zone / Continental crust (>25 km),Eruption Observed,376,3864,216708,2521611,
283260,Akita-Yakeyama,Stratovolcano,Japan,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Eruption Observed,127,721,55493,3122037,
282022,Akusekijima,Stratovolcano(es),Japan,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,52,52,199,749,
311320,Akutan,Stratovolcano,United States,54.13399999999999,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,24,233,4361,
290390,Alaid,Stratovolcano,Russia,50.861000000000004,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,0,64,64,2887,
221112,Alayta,Shield,Ethiopia,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,156,925,13459,330411,
353040,Alcedo,Shield,Ecuador,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Eruption Observed,290,290,388,10756,
221090,Ale Bagu,Stratovolcano,Ethiopia,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible,2,919,8424,278270,
221040,Alid,Stratovolcano,Eritrea,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible,517,2447,25942,1216179,
352031,Aliso,Stratovolcano,Ecuador,-0.53,-78.0,4267,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,0,0,
320020,Alligator Lake,Volcanic field,Canada,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,47,20636,
342040,Almolonga,Stratovolcano,Guatemala,14.797,-91.51899999999999,3173,Subduction zone / Continental crust (>25 km),Eruption Observed,91323,287487,1126942,6828403,
300450,Alney-Chashakondzha,Stratovolcano,Russia,56.656000000000006,159.64700000000002,2570,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,3,10679,
221060,Alu-Dalafilla,Fissure vent(s),Ethiopia,13.793,40.553000000000004,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,0,9,11209,478054,
221270,Alutu,Stratovolcano,Ethiopia,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Eruption Dated,6011,25619,314216,6813710,
311390,Amak,Stratovolcano,United States,55.424,-163.149,488,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,0,1345,
268072,Amasing,Stratovolcano(es),Indonesia,-0.53,127.48,1030,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,59,803,26015,92417,
257030,Ambae,Shield,Vanuatu,-15.389000000000001,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,73,1279,4326,73308,
273088,Ambalatungan Group,Compound,Philippines,17.32,121.1,2329,Subduction zone / Continental crust (>25 km),Unrest / Holocene,493,3803,55724,4652400,
266020,Ambang,Complex,Indonesia,0.75,124.42,1795,Subduction zone / Continental crust (>25 km),Eruption Observed,9155,46469,319137,1730602,
254020,Ambitle,Stratovolcano,Papua New Guinea,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Eruption Dated,1643,9195,9779,24367,
233011,Ambre-Bobaomby,Volcanic field,Madagascar,-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Evidence Credible,20396,20396,51426,408436,
257040,Ambrym,Pyroclastic shield,Vanuatu,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,9,186,10826,63999,
234001,Amsterdam Island,Stratovolcano,France,-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Evidence Credible,0,0,0,0,
311190,Amukta,Stratovolcano,United States,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,0,
284200,Anatahan,Stratovolcano,United States,16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,
300390,Anaun,Stratovolcano,Russia,56.32,158.83,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,2,4,56,5933,
354004,Andahua-Orcopampa,Pyroclastic cone(s),Peru,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Eruption Dated,10317,10317,16541,171897,
390023,Andrus,Shield(s),Antarctica,-75.8,-132.33,2978,Intraplate / Continental crust (>25 km),Evidence Uncertain,0,0,0,0,
257110,Aneityum,Stratovolcano(es),Vanuatu,-20.2,169.78,852,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,176,692,703,22731,
312090,Aniakchak,Caldera,United States,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,36,479,
357153,Antillanca Volcanic Complex,Stratovolcano(es),Chile,-40.783,-72.15,1979,Subduction zone / Continental crust (>25 km),Eruption Dated,87,521,5986,530586,
352030,Antisana,Stratovolcano,Ecuador,-0.48100000000000004,-78.141,5753,Subduction zone / Continental crust (>25 km),Eruption Observed,232,2220,56154,3314142,
355180,Antofagasta Volcanic Field,Pyroclastic cone(s),Argentina,-26.12,-67.4,3495,Subduction zone / Continental crust (>25 km),Evidence Uncertain,188,188,257,4295,
357080,Antuco,Stratovolcano,Chile,-37.406,-71.34899999999999,2979,Subduction zone / Continental crust (>25 km),Eruption Observed,117,474,3872,381623,
284060,Aogashima,Stratovolcano,Japan,32.458,139.759,423,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,232,232,232,8559,
358024,Apagado,Pyroclastic cone,Chile,-41.88,-72.58,1210,Subduction zone / Continental crust (>25 km),Eruption Dated,5,44,4474,354002,
343010,Apaneca Range,Stratovolcano(es),El Salvador,13.890999999999998,-89.786,2036,Subduction zone / Continental crust (>25 km),Evidence Credible,11141,151502,1113282,6215853,
343071,Apastepeque Field,Volcanic field,El Salvador,13.72,-88.77,700,Subduction zone / Continental crust (>25 km),Evidence Credible,377730,377730,687849,6372608,
271030,Apo,Stratovolcano,Philippines,6.989,125.26899999999999,2938,Subduction zone / Continental crust (>25 km),Unrest / Holocene,1355,5431,767800,7768291,
344091,Apoyeque,Pyroclastic shield,Nicaragua,12.242,-86.34200000000001,518,Subduction zone / Continental crust (>25 km),Eruption Dated,2369,116718,1342581,3445854,
355160,Aracar,Stratovolcano,Argentina,-24.29,-67.783,6095,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,94,4803,
214060,Aragats,Stratovolcano,Armenia,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Evidence Credible,0,163,150143,3046562,
213040,Ararat,Stratovolcano,Turkey,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Eruption Observed,25,1239,135563,2811646,
273084,Arayat,Stratovolcano,Philippines,15.2,120.742,1026,Subduction zone / Continental crust (>25 km),Evidence Uncertain,7846,190674,2805269,27216491,
221126,Ardoukoba,Fissure vent(s),Djibouti,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Eruption Observed,2895,2895,6898,560146,
345033,Arenal,Stratovolcano,Costa Rica,10.463,-84.70299999999999,1670,Subduction zone / Continental crust (>25 km),Eruption Observed,3429,15643,96512,3027485,
231090,"Arhab, Harra of",Volcanic field,Yemen,15.63,44.08,3100,Intraplate / Continental crust (>25 km),Eruption Observed,284443,284443,820695,6517834,
263290,Arjuno-Welirang,Stratovolcano,Indonesia,-7.733,112.575,3339,Subduction zone / Continental crust (>25 km),Eruption Observed,2584,53983,4143137,25385433,
305011,Arxan-Chaihe,Pyroclastic cone(s),China,47.45,120.8,1677,Intraplate / Continental crust (>25 km),Eruption Dated,6435,6435,6435,188163,
300058,Asacha,Complex,Russia,52.355,157.827,1910,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,34,238467,
283110,Asamayama,Complex,Japan,36.406,138.523,2568,Subduction zone / Continental crust (>25 km),Eruption Observed,583,22371,457576,7629353,
385050,Ascension,Stratovolcano,United Kingdom,-7.95,-14.37,858,Rift zone / Oceanic crust (< 15 km),Eruption Dated,614,1149,1149,1149,
373060,Askja,Stratovolcano,Iceland,65.033,-16.783,1080,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,13028,
282110,Asosan,Caldera,Japan,32.884,131.10399999999998,1592,Subduction zone / Continental crust (>25 km),Eruption Observed,75559,75559,234591,6507519,
221125,Assab Volcanic Field,Volcanic field,Eritrea,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Evidence Credible,9,9,97,181952,
284150,Asuncion,Stratovolcano,United States,19.671,145.406,857,Subduction zone / Crustal thickness unknown,Eruption Observed,0,0,0,0,
282070,Ata,Caldera(s),Japan,31.22,130.57,924,Subduction zone / Continental crust (>25 km),Eruption Observed,93134,93134,171590,1891380,
352021,Atacazo,Stratovolcano,Ecuador,-0.353,-78.617,4463,Subduction zone / Continental crust (>25 km),Eruption Dated,449,212988,1837303,3769593,
311160,Atka,Stratovolcano(es),United States,52.331,-174.139,1448,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,207,207,
320030,Atlin Volcanic Field,Pyroclastic cone(s),Canada,59.68,-133.32,1880,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,94,956,
357023,"Atuel, Caldera del",Caldera,Argentina,-34.65,-70.05,5189,Subduction zone / Continental crust (>25 km),Evidence Credible,297,297,1003,676916,
